geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    L'Assomption (2460028) V 00000 (  1.9%),Non-immigrants,20945.0,119100.0,16.6,16575.0,132000.0,15.6,4370.0,70000.0,20.3,4.700000000000001,Montreal,L'Assomption
    L'Assomption (2460028) V 00000 (  1.9%),Immigrant,1880.0,127300.0,18.5,1725.0,131400.0,18.2,160.0,82000.0,22.0,3.8000000000000007,Montreal,L'Assomption
    L'Épiphanie (2460037) V 00000 (  3.2%),Total Immigrant Status,8670.0,111000.0,15.9,6285.0,126400.0,14.8,2380.0,70100.0,18.9,4.099999999999998,Montreal,L'Épiphanie
    L'Épiphanie (2460037) V 00000 (  3.2%),Non-immigrants,8310.0,110200.0,15.9,5985.0,125900.0,14.7,2330.0,69700.0,19.0,4.300000000000001,Montreal,L'Épiphanie
    L'Épiphanie (2460037) V 00000 (  3.2%),Immigrant,355.0,129500.0,15.6,305.0,137000.0,16.2,50.0,88000.0,12.0,-4.199999999999999,Montreal,L'Épiphanie
    Saint-Roch-de-l'Achigan (2463035) MÉ 00000 (  1.8%),Total Immigrant Status,5305.0,111300.0,15.3,3825.0,125000.0,14.3,1480.0,75800.0,18.2,3.8999999999999986,Montreal,Saint-Roch-de-l'Achigan
    Saint-Roch-de-l'Achigan (2463035) MÉ 00000 (  1.8%),Non-immigrants,5235.0,110200.0,15.4,3770.0,123700.0,14.3,1465.0,75300.0,18.2,3.8999999999999986,Montreal,Saint-Roch-de-l'Achigan
    Saint-Roch-de-l'Achigan (2463035) MÉ 00000 (  1.8%),Immigrant,70.0,190000.0,11.4,50.0,210000.0,10.4,0.0,,,,Montreal,Saint-Roch-de-l'Achigan
    Saint-Lin--Laurentides (2463048) V 00000 (  2.6%),Total Immigrant Status,23645.0,100400.0,17.0,17840.0,108900.0,16.5,5810.0,74400.0,18.7,2.1999999999999993,Montreal,Saint-Lin--Laurentides
    Saint-Lin--Laurentides (2463048) V 00000 (  2.6%),Non-immigrants,22370.0,100900.0,16.7,16745.0,109600.0,16.1,5625.0,75100.0,18.5,2.3999999999999986,Montreal,Saint-Lin--Laurentides
    Saint-Lin--Laurentides (2463048) V 00000 (  2.6%),Immigrant,1280.0,92200.0,21.9,1095.0,98400.0,21.7,185.0,55200.0,23.5,1.8000000000000007,Montreal,Saint-Lin--Laurentides
    Terrebonne (2464008) V 00000 (  1.8%),Total Immigrant Status,117455.0,128600.0,16.7,97055.0,139000.0,15.7,20395.0,79800.0,21.0,5.300000000000001,Montreal,Terrebonne
    Terrebonne (2464008) V 00000 (  1.8%),Non-immigrants,94475.0,128400.0,16.1,76585.0,140400.0,14.9,17895.0,77300.0,21.4,6.499999999999998,Montreal,Terrebonne
    Terrebonne (2464008) V 00000 (  1.8%),Immigrant,22975.0,129600.0,18.9,20475.0,133600.0,19.0,2500.0,97500.0,18.0,-1.0,Montreal,Terrebonne
    Mascouche (2464015) V 00000 (  2.0%),Total Immigrant Status,49770.0,125300.0,16.6,40390.0,135600.0,15.8,9375.0,81300.0,20.0,4.199999999999999,Montreal,Mascouche
    Mascouche (2464015) V 00000 (  2.0%),Non-immigrants,44085.0,126100.0,16.2,35460.0,137200.0,15.3,8625.0,80600.0,20.0,4.699999999999999,Montreal,Mascouche
    Mascouche (2464015) V 00000 (  2.0%),Immigrant,5675.0,119200.0,19.8,4930.0,123800.0,19.6,750.0,89400.0,21.1,1.5,Montreal,Mascouche
    Laval (2465005) V 00000 (  3.1%),Total Immigrant Status,425775.0,123500.0,17.6,313255.0,140400.0,16.2,112525.0,76800.0,21.5,5.300000000000001,Montreal,Laval
    Laval (2465005) V 00000 (  3.1%),Non-immigrants,231090.0,129800.0,16.4,170950.0,149400.0,14.2,60140.0,73900.0,22.5,8.3,Montreal,Laval
    Laval (2465005) V 00000 (  3.1%),Immigrant,194685.0,116200.0,19.0,142305.0,129400.0,18.5,52385.0,80200.0,20.4,1.8999999999999986,Montreal,Laval
    Montréal-Est (2466007) V 00000 (  2.8%),Total Immigrant Status,4205.0,93400.0,18.5,1685.0,118600.0,17.3,2520.0,76700.0,19.3,2.0,Montreal,Montréal-Est
    Montréal-Est (2466007) V 00000 (  2.8%),Non-immigrants,3470.0,94600.0,18.0,1425.0,120500.0,16.4,2050.0,76700.0,19.1,2.700000000000003,Montreal,Montréal-Est
    Montréal-Est (2466007) V 00000 (  2.8%),Immigrant,735.0,87800.0,20.7,265.0,108000.0,21.9,470.0,76400.0,20.0,-1.8999999999999986,Montreal,Montréal-Est
    Montréal (2466023) V 00000 (  4.6%),Total Immigrant Status,1676690.0,109500.0,20.1,704975.0,154000.0,18.2,971710.0,77200.0,21.4,3.1999999999999993,Montreal,Montréal
    Montréal (2466023) V 00000 (  4.6%),Non-immigrants,821350.0,117700.0,19.4,383990.0,165200.0,16.6,437355.0,76100.0,21.9,5.299999999999997,Montreal,Montréal
    Montréal (2466023) V 00000 (  4.6%),Immigrant,855340.0,101600.0,20.7,320985.0,140600.0,20.2,534355.0,78000.0,21.0,0.8000000000000007,Montreal,Montréal
    Westmount (2466032) V 00000 (  5.7%),Total Immigrant Status,17925.0,384000.0,20.4,11455.0,528000.0,15.7,6470.0,129000.0,28.8,13.100000000000001,Montreal,Westmount
    Westmount (2466032) V 00000 (  5.7%),Non-immigrants,11215.0,436000.0,18.9,7745.0,575500.0,14.5,3470.0,123400.0,28.6,14.100000000000001,Montreal,Westmount
    Westmount (2466032) V 00000 (  5.7%),Immigrant,6715.0,297200.0,22.9,3710.0,428000.0,18.0,3005.0,135400.0,29.0,11.0,Montreal,Westmount
    Montréal-Ouest (2466047) V 00000 (  4.0%),Total Immigrant Status,4980.0,225000.0,17.6,3940.0,259600.0,16.5,1035.0,92600.0,21.7,5.199999999999999,Montreal,Montréal-Ouest
    Montréal-Ouest (2466047) V 00000 (  4.0%),Non-immigrants,3165.0,255400.0,16.6,2605.0,291200.0,15.5,565.0,89200.0,21.5,6.0,Montreal,Montréal-Ouest
